datetime,Factor emision global,APEF,RES-E-RATIO,PVPC
2016-01-06 11:00:00+00:00,0.127282176,1.501849392,0.735343622,30.75
2016-01-06 12:00:00+00:00,0.122951547,1.478078619,0.7251785,90.43
2016-01-06 13:00:00+00:00,0.119483133,1.476083099,0.719542035,93.39
2016-01-06 14:00:00+00:00,0.113941139,1.525852776,0.725027375,91.87
2016-01-06 15:00:00+00:00,0.118066638,1.578911789,0.708156219,92.04
2016-01-06 16:00:00+00:00,0.126570778,1.540424281,0.690051642,91.72
2016-01-06 17:00:00+00:00,0.140270311,1.488454421,0.656256135,96.66
2016-01-06 18:00:00+00:00,0.139260827,1.446630765,0.650991369,99.28
2016-01-06 19:00:00+00:00,0.143483245,1.459020045,0.637359679,109.11
2016-01-06 20:00:00+00:00,0.144698475,1.451361564,0.627702597,111.48
2016-01-06 21:00:00+00:00,0.13969659,1.451791958,0.63618736,113.92
2016-01-06 22:00:00+00:00,0.140096069,1.525756011,0.638613807,42.73
2016-01-06 23:00:00+00:00,0.146700168,1.662841447,0.620476712,33.17
2016-01-07 00:00:00+00:00,0.144360344,1.770461489,0.620785283,31.7
2016-01-07 01:00:00+00:00,0.149837774,1.860927388,0.595927406,24.84
2016-01-07 02:00:00+00:00,0.150139288,1.892269046,0.589271209,22.45
2016-01-07 03:00:00+00:00,0.153839429,1.904005986,0.580168307,22.36
2016-01-07 04:00:00+00:00,0.148187562,1.815172598,0.598307302,21.67
2016-01-07 05:00:00+00:00,0.150716697,1.644985877,0.601950411,22.93
2016-01-07 06:00:00+00:00,0.162241495,1.476815747,0.590038899,28.33
2016-01-07 07:00:00+00:00,0.16331287,1.381278578,0.572915514,40.56
2016-01-07 08:00:00+00:00,0.168226899,1.353696389,0.552682764,55.48
2016-01-07 09:00:00+00:00,0.165303159,1.334613151,0.544935541,53.41
2016-01-07 10:00:00+00:00,0.162745319,1.319692957,0.555553854,52.46
2016-01-07 11:00:00+00:00,0.161613636,1.313933541,0.568591707,52.12
2016-01-07 12:00:00+00:00,0.160415975,1.31871359,0.56649495,116.84
2016-01-07 13:00:00+00:00,0.154138225,1.319206359,0.578844352,119.7
2016-01-07 14:00:00+00:00,0.150001753,1.320730593,0.578505983,117.14
2016-01-07 15:00:00+00:00,0.154209164,1.33224651,0.571438748,114.55
2016-01-07 16:00:00+00:00,0.163418982,1.366498392,0.556815701,114.3
2016-01-07 17:00:00+00:00,0.167620206,1.389078313,0.530599606,120.25
2016-01-07 18:00:00+00:00,0.172671242,1.389283559,0.524920742,120.49
2016-01-07 19:00:00+00:00,0.157636872,1.417518369,0.526202562,122.45
2016-01-07 20:00:00+00:00,0.156762876,1.473061102,0.524154859,118.2
2016-01-07 21:00:00+00:00,0.150237641,1.441501976,0.557165526,118.44
2016-01-07 22:00:00+00:00,0.151600139,1.448670055,0.579301441,50.0
2016-01-07 23:00:00+00:00,0.163930042,1.574628102,0.551606575,44.4
2016-01-08 00:00:00+00:00,0.159978691,1.651521863,0.575505042,40.77
2016-01-08 01:00:00+00:00,0.15834688,1.706577188,0.59099126,34.4
2016-01-08 02:00:00+00:00,0.164359842,1.76001963,0.573206808,31.41
2016-01-08 03:00:00+00:00,0.172214781,1.795885301,0.559762669,30.83
2016-01-08 04:00:00+00:00,0.178552825,1.771423477,0.543912074,30.73
2016-01-08 05:00:00+00:00,0.182715377,1.626761579,0.523859954,33.51
2016-01-08 06:00:00+00:00,0.194780191,1.505628913,0.493596139,41.66
2016-01-08 07:00:00+00:00,0.198956038,1.530475134,0.452862848,51.6
2016-01-08 08:00:00+00:00,0.187599616,1.51316333,0.466203113,53.77
2016-01-08 09:00:00+00:00,0.172723407,1.465403827,0.491820592,49.03
2016-01-08 10:00:00+00:00,0.169374972,1.398827142,0.516796763,48.69
2016-01-08 11:00:00+00:00,0.165747295,1.38206207,0.52683979,47.82
2016-01-08 12:00:00+00:00,0.158395547,1.36827579,0.539977347,112.41
2016-01-08 13:00:00+00:00,0.162740386,1.400115615,0.542376097,115.32
2016-01-08 14:00:00+00:00,0.162056986,1.488921535,0.523571053,113.61
2016-01-08 15:00:00+00:00,0.163197368,1.449353008,0.515445118,112.89
2016-01-08 16:00:00+00:00,0.18117132,1.443899271,0.515680937,117.75
2016-01-08 17:00:00+00:00,0.174311307,1.515993146,0.484863658,125.22
2016-01-08 18:00:00+00:00,0.178456996,1.555437194,0.471910499,126.8
2016-01-08 19:00:00+00:00,0.185883149,1.607381665,0.455819845,128.29
2016-01-08 20:00:00+00:00,0.189142082,1.672492463,0.441922534,131.43
2016-01-08 21:00:00+00:00,0.182339901,1.696081167,0.449579282,133.94
2016-01-08 22:00:00+00:00,0.171724392,1.630451067,0.486132039,56.51
2016-01-08 23:00:00+00:00,0.159002056,1.585309721,0.517552604,52.1
2016-01-09 00:00:00+00:00,0.154173092,1.587143309,0.535911367,50.54
2016-01-09 01:00:00+00:00,0.153277114,1.642431003,0.534025554,47.56
2016-01-09 02:00:00+00:00,0.16316875,1.709360558,0.529672011,41.99
2016-01-09 03:00:00+00:00,0.166298117,1.729642131,0.533210126,41.79
2016-01-09 04:00:00+00:00,0.171671545,1.761937754,0.530794364,40.01
2016-01-09 05:00:00+00:00,0.175164895,1.738015019,0.526177733,40.43
2016-01-09 06:00:00+00:00,0.180417283,1.708989549,0.536911894,39.68
2016-01-09 07:00:00+00:00,0.179804043,1.649675109,0.540862848,39.88
2016-01-09 08:00:00+00:00,0.171639296,1.504748877,0.565323756,45.07
2016-01-09 09:00:00+00:00,0.166751821,1.410992572,0.558283491,49.55
2016-01-09 10:00:00+00:00,0.163049574,1.370953558,0.591763763,49.35
2016-01-09 11:00:00+00:00,0.161459255,1.390385517,0.619219775,48.76
2016-01-09 12:00:00+00:00,0.146640965,1.362763519,0.634548262,110.51
2016-01-09 13:00:00+00:00,0.140754226,1.390461114,0.646827822,111.83
2016-01-09 14:00:00+00:00,0.140380242,1.442144313,0.646213136,109.02
2016-01-09 15:00:00+00:00,0.137488105,1.456938469,0.645128173,102.24
2016-01-09 16:00:00+00:00,0.140099808,1.458306733,0.633535342,103.85
2016-01-09 17:00:00+00:00,0.145098592,1.416927305,0.612409126,113.34
2016-01-09 18:00:00+00:00,0.146478718,1.343231175,0.605836988,117.97
2016-01-09 19:00:00+00:00,0.139902706,1.351890004,0.591958485,116.61
2016-01-09 20:00:00+00:00,0.137404922,1.340206673,0.610718015,110.54
2016-01-09 21:00:00+00:00,0.138969117,1.396386004,0.619105738,107.1
2016-01-09 22:00:00+00:00,0.135036928,1.470818728,0.647042367,40.59
2016-01-09 23:00:00+00:00,0.133553911,1.484432838,0.652886497,37.72
2016-01-10 00:00:00+00:00,0.12933234,1.54954742,0.658422372,26.43
2016-01-10 01:00:00+00:00,0.136000717,1.641120474,0.626727792,20.81
2016-01-10 02:00:00+00:00,0.142622149,1.710840866,0.600439557,19.38
2016-01-10 03:00:00+00:00,0.14344231,1.746652781,0.58591931,18.12
2016-01-10 04:00:00+00:00,0.142696719,1.73005155,0.582204107,18.37
2016-01-10 05:00:00+00:00,0.144237498,1.716666857,0.57807294,17.97
2016-01-10 06:00:00+00:00,0.14083115,1.672805341,0.586779489,17.57
2016-01-10 07:00:00+00:00,0.137523171,1.654437123,0.595002602,17.1
2016-01-10 08:00:00+00:00,0.133733881,1.542278887,0.619911692,17.84
2016-01-10 09:00:00+00:00,0.125643724,1.416466383,0.654945211,20.33
2016-01-10 10:00:00+00:00,0.127672669,1.387238386,0.665924684,20.29
2016-01-10 11:00:00+00:00,0.120723346,1.360425545,0.6885715,23.05
2016-01-10 12:00:00+00:00,0.121786755,1.354712465,0.681242426,87.5
2016-01-10 13:00:00+00:00,0.119431115,1.350307025,0.685410843,91.24
2016-01-10 14:00:00+00:00,0.124804097,1.403289995,0.66485169,91.66
2016-01-10 15:00:00+00:00,0.122981065,1.410403266,0.666900477,87.08
2016-01-10 16:00:00+00:00,0.119068129,1.377650858,0.666747958,86.57
2016-01-10 17:00:00+00:00,0.120688268,1.332182709,0.657968742,89.6
